example_id,statement,legal_passages,label,score
E3nezW9AK0,Phim loại C là phim được phép phổ biến đến người xem ở mọi độ tuổi,"Phân loại phim

1. Phim được phân loại theo nội dung để phổ biến phù hợp với độ tuổi người xem hoặc không được phép phổ biến như sau:

a) Loại P: Phim được phép phổ biến đến người xem ở mọi độ tuổi",No,8.07499736343173
bu3nyKAUNT,"Người xem từ 18 tuổi trở lên được pháp xem phim có nội dung thuộc phân loại K với điều kiện xem cùng cha, mẹ hoặc người giám hộ","đ) Loại K: Phim được phổ biến đến người xem dưới 13 tuổi với điều kiện xem cùng cha, mẹ hoặc người giám hộ",No,15.464899020336642
gtjDrBrJ19,"Trong vòng 05 ngày làm việc, kể từ ngày nhận được kết quả xét nghiệm dương tính của người cư trú tại địa phương, Chủ tịch Ủy ban nhân dân cấp xã, phường có trách nhiệm ra quyết định và tổ chức quản lý người sử dụng trái phép chất ma túy cư trú tại địa phương.","4. Trong thời hạn 03 ngày làm việc kể từ ngày nhận được kết quả xét nghiệm dương tính của người cư trú tại địa phương, Chủ tịch Ủy ban nhân dân cấp xã có trách nhiệm ra quyết định và tổ chức quản lý người sử dụng trái phép chất ma túy cư trú tại địa phương",No,44.46678897359738
nkiX0ToLxf,Nguồn tài chính bảo đảm thực hiện chính sách đối với thanh niên chỉ gồm nguồn tài chính từ ngân sách nhà nước,"2. Nguồn tài chính bảo đảm thực hiện chính sách đối với thanh niên gồm ngân sách nhà nước; các khoản ủng hộ, viện trợ, tài trợ và đóng góp hợp pháp khác của tổ chức, doanh nghiệp, cá nhân trong nước và nước ngoài",No,5.030862603385791
g4rqqRWpdb,"Trong quá trình thực hiện hợp đồng làm việc, nếu một bên có yêu cầu thay đổi nội dung hợp đồng làm việc thì phải báo cho bên kia biết trước ít nhất 03 ngày làm việc","Thay đổi nội dung, ký kết tiếp, tạm hoãn và chấm dứt hợp đồng làm việc

1. Trong quá trình thực hiện hợp đồng làm việc, nếu một bên có yêu cầu thay đổi nội dung hợp đồng làm việc thì phải báo cho bên kia biết trước ít nhất 03 ngày làm việc. Khi đã chấp thuận thì các bên tiến hành sửa đổi, bổ sung nội dung liên quan của hợp đồng làm việc. Trong thời gian tiến hành thoả thuận, các bên vẫn phải tuân theo hợp đồng làm việc đã ký kết. Trường hợp không thoả thuận được thì các bên tiếp tục thực hiện hợp đồng làm việc đã ký kết hoặc thoả thuận chấm dứt hợp đồng làm việc",Yes,24.037389912586377
5aJlXB1eST,Việc đánh giá viên chức được thực hiện hàng năm,"3. Việc đánh giá viên chức được thực hiện hàng năm; khi kết thúc thời gian tập sự; trước khi ký tiếp hợp đồng làm việc; thay đổi vị trí việc làm; xét khen thưởng, kỷ luật, bổ nhiệm, bổ nhiệm lại, quy hoạch, đào tạo, bồi đường",Yes,4.266932223470982
6nfjyV5thx,"Cơ quan nhà nước không có thẩm quyền theo dõi, kiểm tra, và giám sát các hoạt động nghiên cứu, sản xuất chất ma túy (không bao gồm trồng cây có chứa chất ma túy).","Kiểm soát hoạt động vận chuyển chất ma túy, tiền chất

1. Cơ quan, tổ chức, cá nhân đã được cơ quan nhà nước có thẩm quyền cho phép thì được vận chuyển chất ma túy, tiền chất; khi thực hiện việc vận chuyển phải đóng gói, niêm phong theo quy định của cơ quan có thẩm quyền; chịu trách nhiệm về số lượng, chất lượng, có biện pháp bảo vệ an toàn, không để bị thất thoát trong quá trình vận chuyển và chịu sự theo dõi, kiểm tra, giám sát của cơ quan nhà nước có thẩm quyền",No,11.027028644452841
pyuKTtaCxe,"Bộ Văn hóa, Thể thao và Du lịch là cơ quan giúp Chính phủ thực hiện quản lý nhà nước về điện ảnh","2. Bộ Văn hóa, Thể thao và Du lịch là cơ quan giúp Chính phủ thực hiện quản lý nhà nước về điện ảnh và có trách nhiệm sau đây:

a) Ban hành hoặc trình cơ quan nhà nước có thẩm quyền ban hành và tổ chức thực hiện chính sách, văn bản quy phạm pháp luật về điện ảnh, chiến lược, kế hoạch phát triển điện ảnh",Yes,13.439098790925918
70KK5g4fPJ,"Được phép gian lận trong học tập và thi cử. Đồng thời cho phép học sinh được hút thuốc, uống rượu bia và cờ bạc.","4. Hút thuốc; uống rượu, bia; gây rối an ninh, trật tự",No,4.872972212503513
q9zjh7Uw7Q,Người xem dưới 16 tuổi được xem phim có nội dung thuộc phân loại T18,"Phân loại phim

1. Phim được phân loại theo nội dung để phổ biến phù hợp với độ tuổi người xem hoặc không được phép phổ biến như sau:

a) Loại P: Phim được phép phổ biến đến người xem ở mọi độ tuổi",No,4.887617068470798
