example_id,statement,legal_passages,label,score
q-189,Chiếm đoạt tài sản lớn hơn 500.000.000 đồng sẽ bị phạt tù dưới 5 năm.,"3. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 07 năm đến 15 năm:

a) Chiếm đoạt tài sản trị giá từ 200.000.000 đồng đến dưới 500.000.000 đồng",No,10.700172161249727
q-552,"Luật sư có các nghĩa vụ: (1) tham gia bồi dưỡng bắt buộc về chuyên môn, nghiệp vụ, (2) tham gia tố tụng đầy đủ, kịp thời trong các vụ án do cơ quan tiến hành tố tụng yêu cầu, (3) thực hiện trợ giúp pháp lý.","c) Tham gia tố tụng đầy đủ, kịp thời trong các vụ án do cơ quan tiến hành tố tụng yêu cầu",Yes,26.57755720923018
q-541,"Chứng chỉ hành nghề luật sư bị thu hồi khi được tuyển dụng, bổ nhiệm là cán bộ, công chức, viên chức.","b) Được tuyển dụng, bổ nhiệm làm cán bộ, công chức, viên chức; sĩ quan, quân nhân chuyên nghiệp, công nhân quốc phòng trong cơ quan, đơn vị thuộc Quân đội nhân dân; sĩ quan, hạ sĩ quan, công nhân trong cơ quan, đơn vị thuộc Công an nhân dân",Yes,10.04353074564293
q-249,"Chỉ những hành vi pháp lý đơn phương làm thay đổi quyền, nghĩa vụ dân sự mới được coi là giao dịch dân sự.","Giao dịch dân sự

Giao dịch dân sự là hợp đồng hoặc hành vi pháp lý đơn phương làm phát sinh, thay đổi hoặc chấm dứt quyền, nghĩa vụ dân sự.",No,3.671371210337013
q-542,"Chứng chỉ hành nghề luật sư bị thu hồi khi không còn thường trú tại Việt Nam, hoặc bị thu hồi khi bị kết án và bản án đã có hiệu lực pháp luật, hoặc được tuyển dụng, bổ nhiệm là cán bộ, công chức, viên chức.",i) Bị kết án mà bản án đã có hiệu lực pháp luật,Yes,18.056206696057643
q-20,Hút thuốc là hành vi bị nghiêm cấm trong cơ sở giáo dục.,"Các hành vi bị nghiêm cấm trong cơ sở giáo dục

1. Xúc phạm nhân phẩm, danh dự, xâm phạm thân thể nhà giáo, cán bộ, người lao động của cơ sở giáo dục và người học",Yes,6.03063234231828
q-561,Mỗi luật sư hướng dẫn chỉ được hướng dẫn không quá hai người tập sự tại cùng một thời điểm.,"Tổ chức hành nghề luật sư phân công luật sư hướng dẫn người tập sự hành nghề luật sư. Luật sư hướng dẫn tập sự phải là người có ít nhất ba năm kinh nghiệm hành nghề luật sư và không thuộc trường hợp đang trong thời gian bị xử lý kỷ luật theo quy định tại khoản 1 Điều 85 của Luật này. Tại cùng một thời điểm, một luật sư không được hướng dẫn quá ba người tập sự",No,12.043064932666663
q-330,"Sau khi kết hôn, người vợ phải cải đạo theo người chồng.","Tôn trọng quyền tự do tín ngưỡng, tôn giáo của vợ, chồng

Vợ, chồng có nghĩa vụ tôn trọng quyền tự do tín ngưỡng, tôn giáo của nhau.",No,0.8219487784336595
q-485,Luật sư hướng dẫn tập sự hành nghề luật sư không cần đang hành nghề trong một tổ chức hành nghề luật sư.,"Điều kiện đối với luật sư hướng dẫn

Luật sư hướng dẫn tập sự hành nghề luật sư phải đáp ứng đủ các điều kiện sau đây:

1. Đang hành nghề trong một tổ chức hành nghề luật sư quy định tại khoản 3 Điều 4 của Thông tư này",No,6.647273633332803
q-305,"Theo quy định về việc thừa kế theo pháp luật đối với vợ, chồng đã li hôn và kết hôn với người khác thì người đang là vợ hoặc chồng của một người tại thời điểm người đó chết thì dù sau đó đã kết hôn với người khác vẫn được thừa kế di sản.",3. Người đang là vợ hoặc chồng của một người tại thời điểm người đó chết thì dù sau đó đã kết hôn với người khác vẫn được thừa kế di sản.,Yes,14.815082872969317
