text,label
bộ luật dân sự 2015: quan hệ giữa bên bảo lãnh và bên nhận bảo lãnh: bên nhận bảo lãnh được yêu cầu bên bảo lãnh thực hiện nghĩa vụ thay cho bên được bảo lãnh khi nghĩa vụ chưa đến hạn.,0
luật thanh niên 2020: hiệu lực thi hành: (đã ký),1
"luật viên chức 2010: các hình thức kỷ luật đối với viên chức : viên chức vi phạm các quy định của pháp luật trong quá trình thực hiện công việc hoặc nhiệm vụ thì tuỳ theo tính chất, mức độ vi phạm, không phải chịu một trong các hình thức kỷ luật sau:: khiển trách;",0
"luật tiếp cận thông tin 2016: hình thức, thời điểm công khai thông tin: các hình thức công khai thông tin bao gồm:: thông qua việc tiếp công dân, họp báo, thông cáo báo chí, hoạt động của người phát ngôn của cơ quan nhà nước theo quy định của pháp luật;",1
"luật giáo dục 2019: văn bằng, chứng chỉ: chính phủ ban hành hệ thống văn bằng giáo dục đại học và quy định văn bằng trình độ tương đương của một số ngành đào tạo chuyên sâu đặc thù.",1
"luật tố tụng hành chính 2015: xử lý hành vi cản trở việc giao, nhận, cấp, tống đạt hoặc thông báo văn bản tố tụng của tòa án: giả mạo kết quả thực hiện việc tống đạt, thông báo văn bản tố tụng của tòa án mà mình không được giao thực hiện;",0
luật giáo dục 2019: quy định chuyển tiếp:        chủ tịch quốc hội       nguyễn thị kim ngân   ,1
"luật thanh tra 2022: nhiệm vụ, quyền hạn của người thực hiện giám sát: yêu cầu đoàn thanh tra cung cấp thông tin, tài liệu sau đây:: quyết định thanh tra, quyết định gia hạn thời hạn thanh tra, quyết định đình chỉ, thay đổi trưởng đoàn thanh tra, thành viên khác của đoàn thanh tra, quyết định sửa đổi, bổ sung nội dung thanh tra, kế hoạch tiến hành thanh tra, đề cương yêu cầu đối tượng thanh tra báo cáo, văn bản chỉ đạo của người ra quyết định thanh tra;",1
"bộ luật dân sự 2015: hợp đồng mượn tài sản: hợp đồng mượn tài sản là sự thỏa thuận giữa các bên, theo đó bên cho mượn giao tài sản cho bên mượn để sử dụng trong một thời hạn mà không phải trả tiền, bên mượn phải trả lại tài sản đó khi hết thời hạn mượn hoặc mục đích mượn đã đạt không được.",0
"luật du lịch 2017: cấp đổi thẻ hướng dẫn viên du lịch: hồ sơ đề nghị cấp đổi thẻ hướng dẫn viên du lịch bao gồm:: giấy tờ quy định tại các điểm b, d và đ khoản 1 điều 60 của luật này;",1
"bộ luật dân sự 2015: chịu rủi ro về tài sản: chủ sở hữu không phải chịu rủi ro về tài sản thuộc sở hữu của mình, trừ trường hợp có thỏa thuận khác hoặc bộ luật này, luật khác có liên quan quy định khác.",0
"luật cư trú 2020: nơi cư trú của người hoạt động tín ngưỡng, tôn giáo, trẻ em, người khuyết tật, người không nơi nương tựa trong cơ sở tín ngưỡng, cơ sở tôn giáo: nơi cư trú của trẻ em, người khuyết tật đặc biệt nặng, người khuyết tật nặng, người không nơi nương tựa không được nhận nuôi và sinh sống trong cơ sở tín ngưỡng, cơ sở tôn giáo là cơ sở tín ngưỡng, cơ sở tôn giáo.",0
"luật thanh niên 2020: chính sách của nhà nước đối với tổ chức thanh niên: hỗ trợ, tạo điều kiện để tổ chức thanh niên huy động thanh niên thực hiện chương trình, dự án phát triển kinh tế - xã hội và các chương trình, dự án khác.",1
